"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-1-26","11,295.73","11,305.05","11,328.15","11,204.32","","-0.08%"
"2024-1-25","11,305.05","11,110.15","11,312.25","11,098.92","","1.75%"
"2024-1-24","11,110.15","10,970.06","11,126.43","10,866.70","","1.28%"
"2024-1-23","10,970.06","10,993.37","11,035.94","10,874.73","","-0.21%"
"2024-1-22","10,993.37","11,055.93","11,140.00","10,889.03","","-0.57%"
"2024-1-19","11,055.93","11,017.67","11,090.59","10,931.46","","0.35%"
"2024-1-18","11,017.67","10,845.51","11,037.38","10,675.21","","1.59%"
"2024-1-17","10,845.51","11,105.09","11,105.09","10,845.51","","-2.34%"
"2024-1-16","11,105.09","11,036.23","11,106.33","10,985.62","","0.62%"
"2024-1-15","11,036.23","11,044.82","11,118.55","10,964.72","","-0.08%"
"2024-1-12","11,044.82","11,067.97","11,110.02","11,002.49","","-0.21%"
"2024-1-11","11,067.97","11,038.60","11,138.88","10,986.60","","0.27%"
"2024-1-10","11,038.60","11,071.94","11,148.24","11,008.48","","-0.30%"
"2024-1-9","11,071.94","11,052.26","11,101.86","11,019.07","","0.18%"
"2024-1-8","11,052.26","11,179.57","11,201.63","11,037.48","","-1.14%"
"2024-1-5","11,179.57","11,212.10","11,308.85","11,126.58","","-0.29%"
"2024-1-4","11,212.10","11,311.34","11,312.82","11,129.34","","-0.88%"
"2024-1-3","11,311.34","11,307.38","11,341.89","11,252.56","","0.04%"
"2024-1-2","11,307.38","11,503.58","11,505.32","11,306.42","","-1.71%"
"2023-12-29","11,503.58","11,463.90","11,534.89","11,432.16","","0.35%"
"2023-12-28","11,463.90","11,188.34","11,493.64","11,180.26","","2.46%"
"2023-12-27","11,188.34","11,173.03","11,207.17","11,108.53","","0.14%"
"2023-12-26","11,173.03","11,231.62","11,231.62","11,142.66","","-0.52%"
"2023-12-25","11,231.62","11,199.73","11,238.75","11,179.40","","0.28%"
"2023-12-22","11,199.73","11,172.62","11,265.75","11,116.18","","0.24%"
"2023-12-21","11,172.62","11,053.29","11,196.55","11,003.77","","1.08%"
"2023-12-20","11,053.29","11,127.23","11,163.73","11,050.09","","-0.66%"
"2023-12-19","11,127.23","11,110.43","11,156.61","11,037.76","","0.15%"
"2023-12-18","11,110.43","11,098.43","11,161.35","11,007.60","","0.11%"
"2023-12-15","11,098.43","11,115.79","11,282.50","11,088.81","","-0.16%"
"2023-12-14","11,115.79","11,190.91","11,281.48","11,109.15","","-0.67%"
"2023-12-13","11,190.91","11,429.63","11,429.63","11,187.38","","-2.09%"
"2023-12-12","11,429.63","11,386.85","11,434.64","11,325.39","","0.38%"
"2023-12-11","11,386.85","11,371.83","11,422.87","11,165.05","","0.13%"
"2023-12-8","11,371.83","11,333.16","11,413.91","11,309.75","","0.34%"
"2023-12-7","11,333.16","11,350.55","11,373.33","11,241.73","","-0.15%"
"2023-12-6","11,350.55","11,351.62","11,425.69","11,298.78","","-0.01%"
"2023-12-5","11,351.62","11,567.71","11,567.71","11,346.58","","-1.87%"
"2023-12-4","11,567.71","11,649.06","11,658.99","11,561.99","","-0.70%"
"2023-12-1","11,649.06","11,756.05","11,756.05","11,565.49","","-0.91%"
"2023-11-30","11,756.05","11,692.00","11,774.05","11,678.56","","0.55%"
"2023-11-29","11,692.00","11,775.85","11,781.65","11,659.41","","-0.71%"
"2023-11-28","11,775.85","11,764.63","11,811.36","11,723.55","","0.10%"
"2023-11-27","11,764.63","11,889.77","11,889.77","11,703.34","","-1.05%"
"2023-11-24","11,889.77","11,952.81","11,953.56","11,878.44","","-0.53%"
"2023-11-23","11,952.81","11,935.47","11,960.65","11,870.50","","0.15%"
"2023-11-22","11,935.47","12,039.58","12,039.58","11,935.47","","-0.86%"
"2023-11-21","12,039.58","11,973.78","12,122.45","11,973.78","","0.55%"
"2023-11-20","11,973.78","11,934.30","12,021.74","11,866.02","","0.33%"
"2023-11-17","11,934.30","11,981.04","11,981.04","11,861.56","","-0.39%"
"2023-11-16","11,981.04","12,076.40","12,083.88","11,968.24","","-0.79%"
"2023-11-15","12,076.40","11,983.53","12,117.01","11,983.53","","0.77%"
"2023-11-14","11,983.53","11,981.63","12,053.71","11,939.89","","0.02%"
"2023-11-13","11,981.63","12,034.82","12,070.13","11,925.93","","-0.48%"
"2023-11-10","12,039.56","12,136.44","12,136.44","12,003.47","","-0.80%"
"2023-11-9","12,136.44","12,129.99","12,171.97","12,088.76","","0.05%"
"2023-11-8","12,129.99","12,164.58","12,184.37","12,073.32","","-0.28%"
"2023-11-7","12,164.58","12,245.06","12,245.06","12,123.74","","-0.66%"
"2023-11-6","12,245.06","12,153.74","12,254.96","12,153.74","","0.75%"
"2023-11-3","12,153.74","12,068.94","12,190.05","12,063.14","","0.70%"
"2023-11-2","12,068.94","12,092.68","12,193.62","12,064.91","","-0.20%"
"2023-11-1","12,092.68","11,991.53","12,251.74","11,991.53","","0.84%"
"2023-10-31","11,991.53","11,999.91","12,017.34","11,935.78","","-0.07%"
"2023-10-30","11,999.91","11,958.57","12,032.63","11,921.99","","0.35%"
